NAAM;STRAAT;GEMEENTE;WGS84_LATITUDE;WGS84_LONGITUDE;EMAIL;LINK;POITYPE;CATEGORIE
Stedelijke Basisschool De Duizendpootjes;Binnenstraat;Aalst;50,94678679;4,05097617;sbsdeduizendpootjes@aalst.be;https://www.sbsdeduizendpootjes.be;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool De Duizendpootjes;Binnenstraat;Aalst;50,94678679;4,05097617;sbsdeduizendpootjes@aalst.be;https://www.sbsdeduizendpootjes.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Academie voor Podiumkunsten (muziek, woord en dans);Binnenstraat;Aalst;50,94678679;4,05097617; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Instituut Sint-Vincentius a Paulo 1;Pachthofstraat;Aalst;50,98509475;4,04936405;info@svi-gijzegem.be;https://www.svi-gijzegem.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Instituut Sint-Vincentius a Paulo;Pachthofstraat;Aalst;50,98509475;4,04936405;info@svi-gijzegem.be;https://www.svi-gijzegem.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Stedelijke Basisschool 't Meivisje;Damkouterbaan;Aalst;50,98329264;4,04779557;sbsdespringplank@aalst.be;https://www.sbsdespringplank.be;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool 't Meivisje;Damkouterbaan;Aalst;50,98329264;4,04779557;sbsdespringplank@aalst.be;https://www.sbsdespringplank.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Academie voor Podiumkunsten (muziek, woord en dans);Damkouterbaan;Aalst;50,98329264;4,04779557; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Stedelijke Academie voor Beeldende Kunsten;Damkouterbaan;Aalst;50,98329264;4,04779557; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Stedelijke Basisschool 't Klaproosje;Slotstraat;Aalst;50,94277661;4,04731808; ;https://www.skstkrawietelken.be;Gewoon kleuteronderwijs;Basisonderwijs
Syntra Midden-Vlaanderen;Wijngaardveld;Aalst;50,96046544;4,04652809;vanessa.cosijn@syntra-mvl.be;;Leertijd;Secundair onderwijs
Vrije Basisschool - Sint-Vincentius;Kruisstraat;Aalst;50,98528366;4,04611571;secretariaat@svibasisschool.be;https://www.svibasisschool.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool - Sint-Vincentius;Kruisstraat;Aalst;50,98528366;4,04611571;secretariaat@svibasisschool.be;https://www.svibasisschool.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Academie voor Beeldende Kunsten;Houtkaai;Aalst;50,94225136;4,04264053; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
DVM Handels-, Technisch en Beroepsonderwijs;Onderwijsstraat;Aalst;50,93860013;4,04208254;johnnyvandekerkhove@dvmhtbaalst.be;https://www.dvmhtbaalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Stedelijke Academie voor Podiumkunsten (muziek, woord en dans);Molenstraat;Aalst;50,93914835;4,04203605; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Vrije Basisschool - Sint- Jozefscollege;Pontstraat;Aalst;50,93686502;4,04202347;bsp@sjcaalst.be;https://www.sjcaalst.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool - Sint- Jozefscollege;Pontstraat;Aalst;50,93686502;4,04202347;bsp@sjcaalst.be;https://www.sjcaalst.be;Gewoon lager onderwijs;Basisonderwijs
Vrije Basisschool - DvM;Onderwijsstraat;Aalst;50,93858156;4,04186926; ;;Gewoon kleuteronderwijs;Basisonderwijs
DvM Humaniora - Eerste Graad;Onderwijsstraat;Aalst;50,93858156;4,04186926;info1@dvmhumaniora.be;https://www.dvmhumaniora.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
DvM - Humaniora;Onderwijsstraat;Aalst;50,93858156;4,04186926;directeur@dvmhumaniora.be;https://www.dvmhumaniora.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Jozefscollege 1;Pontstraat;Aalst;50,93707886;4,04133909;amelie.verbeken@sjcaalst.be;https://www.sjcaalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Jozefscollege 2;Pontstraat;Aalst;50,93707886;4,04133909;mieke.jacob@sjcaalst.be;https://www.sjcaalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Jozefscollege;Pontstraat;Aalst;50,93707886;4,04133909;liesbeth.vandenbossche@inigo-ignatiaansescholen.be;https://www.sjcaalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
DVM Handels-, Technisch en Beroepsonderwijs;Sint Martensplein;Aalst;50,93823804;4,04117452; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrije Basisschool - DvM;Sint Martensplein;Aalst;50,93850692;4,0408881;info@dvmbasis.be;https://www.dvmbasis.be;Gewoon lager onderwijs;Basisonderwijs
GO! instituut voor buitengewoon secundair onderwijs De Horizon;Graanmarkt;Aalst;50,94042938;4,04043363; ;https://www.passtel.be;Buitengewoon secundair onderwijs;Secundair onderwijs
GO! Basisschool Atheneum Aalst;Graanmarkt;Aalst;50,94042938;4,04043363;directie@bsatheneumaalst.be;https://www.bsatheneumaalst.be;Gewoon kleuteronderwijs;Basisonderwijs
GO! Basisschool Atheneum Aalst;Graanmarkt;Aalst;50,94042938;4,04043363;directie@bsatheneumaalst.be;https://www.bsatheneumaalst.be;Gewoon lager onderwijs;Basisonderwijs
GO! Atheneum Aalst;Graanmarkt;Aalst;50,94042938;4,04043363;directie@atheneumaalst.be;https://www.atheneumaalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Stedelijke Academie voor Podiumkunsten (muziek, woord en dans);Grote Markt;Aalst;50,93858361;4,03937947; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Stedelijke Academie voor Podiumkunsten (muziek, woord en dans);Utopia;Aalst;50,9407123;4,03873853;academiepodiumkunsten@aalst.be;https://www.utopia-aalst.be;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
GO! Basisschool GAAF! Aalst;Sint Kamielstraat;Aalst;50,93350209;4,03847617; ;;Gewoon kleuteronderwijs;Basisonderwijs
GO! Basisschool GAAF! Aalst;Sint Kamielstraat;Aalst;50,93350209;4,03847617; ;;Gewoon lager onderwijs;Basisonderwijs
Sint-Jozefscollege 1;Eikstraat;Aalst;50,93289762;4,03769801; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Jozefscollege 2;Eikstraat;Aalst;50,93289762;4,03769801; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Jozefscollege;Eikstraat;Aalst;50,93289762;4,03769801; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrije Basisschool Sint-Jozefscollege campus Eikstraat;Eikstraat;Aalst;50,93269949;4,03757138;directeur.bseikstraat@sjcaalst.be;https://www.sjcaalst.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool Sint-Jozefscollege campus Eikstraat;Eikstraat;Aalst;50,93269949;4,03757138;directeur.bseikstraat@sjcaalst.be;https://www.sjcaalst.be;Gewoon lager onderwijs;Basisonderwijs
GO! Atheneum Aalst;Bauwensplein;Aalst;50,9423337;4,03672094; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Maarteninstituut 1;Esplanadeplein;Aalst;50,94156568;4,035332;info@smi-aalst.be;https://www.smi-aalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Maarteninstituut 2;Esplanadeplein;Aalst;50,94156568;4,035332;info@smi-aalst.be;https://www.smi.aalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrije Lagere School Sint-Maarten;Esplanadeplein;Aalst;50,94156568;4,035332;smi.lagereschool@telenet.be;https://www.smi-aalst.be;Gewoon lager onderwijs;Basisonderwijs
Sint-Maarteninstituut 3;Esplanadeplein;Aalst;50,94156568;4,035332;kristof.dossche@smi-aalst.be;https://www.smi-aalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
GO! Centrum voor Volwassenenonderwijs hét CVO Pro;Keizersplein;Aalst;50,9371509;4,03497919;info@hetcvopro.be;https://www.hetcvopro.be;Secundair volwassenenonderwijs;Volwassenenonderwijs
GO! instituut voor buitengewoon secundair onderwijs De Horizon;Keizersplein;Aalst;50,9371509;4,03497919; ;https://www.passtel.be;Buitengewoon secundair onderwijs;Secundair onderwijs
GO! Handelsschool Aalst;Keizersplein;Aalst;50,9371509;4,03497919;directie@handelsschoolaalst.be;https://www.handelsschoolaalst.be/;Voltijds gewoon secundair onderwijs;Secundair onderwijs
TechniGO! campus Ledebaan Aalst;Keizersplein;Aalst;50,9371509;4,03497919; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrije Basisschool - De Vlieger;Hofstade-Dorp;Aalst;50,96138477;4,03449388;directie@vbsdevlieger.be;https://www.vbsdevlieger.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool - De Vlieger;Hofstade-Dorp;Aalst;50,96138477;4,03449388;directie@vbsdevlieger.be;https://www.vbsdevlieger.be;Gewoon lager onderwijs;Basisonderwijs
GO! technisch atheneum Vesaliusinstituut Oostende;Arbeidstraat;Aalst;50,93736224;4,03342695; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrije Kleuterschool Sint-Maarten;Sint Jozefstraat;Aalst;50,94078691;4,03333138;kleuterschool.st.maarten@telenet.be;https://www.smi-aalst.be;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool De Notelaar;Vrijheidstraat;Aalst;50,9391866;4,03325744;sbsdenotelaar@aalst.be;https://www.sbsdenotelaar.be;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool De Notelaar;Vrijheidstraat;Aalst;50,9391866;4,03325744;sbsdenotelaar@aalst.be;https://www.sbsdenotelaar.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Academie voor Beeldende Kunsten (kunstsecundair);Vrijheidstraat;Aalst;50,9391866;4,03325744; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Ligo, Centrum voor Basiseducatie Zuid-Oost-Vlaanderen;Bert Van Hoorickstraat;Aalst;50,93955166;4,03203126;info@ligo-zovl.be;https://www.ligo.be/zuid-oost-vlaanderen;Basiseducatie;Volwassenenonderwijs
Vrije Lagere School - Sint Jozefscollege;Capucienenlaan;Aalst;50,93277754;4,03024468;directeur.lscapucienen@sjcaalst.be;https://inigo-ignatiaansescholen.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Basisschool 't Hofje;Zijpstraat;Aalst;50,96360685;4,02881259;sbsthofje@aalst.be;https://www.sbsthofje.be;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool 't Hofje;Zijpstraat;Aalst;50,96360685;4,02881259;sbsthofje@aalst.be;https://www.sbsthofje.be;Gewoon lager onderwijs;Basisonderwijs
Vrij Technisch Instituut - 2;Sinte Annalaan;Aalst;50,94169022;4,02858693;info@vtiaalst.be;https://www.vtiaalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrij Technisch Instituut - 2;Sinte Annalaan;Aalst;50,94169022;4,02858693;info@vtiaalst.be;https://www.vtiaalst.be;Deeltijds beroepssecundair onderwijs;Secundair onderwijs
Stedelijke Academie voor Beeldende Kunsten (kunstsecundair);Capucienenlaan;Aalst;50,93649361;4,02832578;els.talloen@aalst.be;https://www.academiebk-aalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Stedelijke Academie voor Beeldende Kunsten;Capucienenlaan;Aalst;50,93649361;4,02832578;info.dko@sabka.be;https://www.academiebk-aalst.be;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Vrije Basisschool - De Luchtballon;Geraardsbergsesteenweg;Aalst;50,9101006;4,0282893;directie@deluchtballon.be;https://www.deluchtballon.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool - De Luchtballon;Geraardsbergsesteenweg;Aalst;50,9101006;4,0282893;directie@deluchtballon.be;https://www.deluchtballon.be;Gewoon lager onderwijs;Basisonderwijs
Vrij Technisch Instituut - 3;Vakschoolstraat;Aalst;50,94087089;4,02813757;info@vtiaalst.be;https://www.vtiaalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrije Basisschool - De Luchtballon;Ninovestraat;Aalst;50,90869757;4,02805775; ;;Gewoon lager onderwijs;Basisonderwijs
Vrij Technisch Instituut - 2;Sinte Annalaan;Aalst;50,94312647;4,02787933; ;;Deeltijds beroepssecundair onderwijs;Secundair onderwijs
Vrij Technisch Instituut - 3;Sinte Annalaan;Aalst;50,94312647;4,02787933; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrij Technisch Instituut - 1;Sinte Annalaan;Aalst;50,94312647;4,02787933;info@vtiaalst.be;https://www.vtiaalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
GO! Handelsschool Aalst;Ledebaan;Aalst;50,94683747;4,02732591; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
TechniGO! campus De Voorstad Aalst;Ledebaan;Aalst;50,94683747;4,02732591; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
TechniGO! middenschool Aalst;Ledebaan;Aalst;50,94683747;4,02732591;katrien.demoerloose@technigo.be;https://www.technigo.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
TechniGO! campus Ledebaan Aalst;Ledebaan;Aalst;50,94683747;4,02732591;bart.vancauter@technigo.be;https://www.technigo.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Stedelijke Basisschool De Notelaar;Kerrebroekstraat;Aalst;50,94880042;4,02536209; ;https://www.skstooievaarsnest.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Kleuterschool Sint-Maarten;Gentse steenweg;Aalst;50,93766926;4,02456133; ;;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool Sint-Maarten;Spaarzaamheidstraat;Aalst;50,9405257;4,02381479; ;;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool Sint-Maarten;Spaarzaamheidstraat;Aalst;50,9405257;4,02381479; ;;Gewoon lager onderwijs;Basisonderwijs
Vrij Technisch Instituut - 2;Ledebaan;Aalst;50,94883863;4,02305648;dbso.vti@telenet.be;;Deeltijds beroepssecundair onderwijs;Secundair onderwijs
Centrum voor deeltijdse vorming Groep Intro Zuid-Oost-Vlaanderen;Ledebaan;Aalst;50,94883863;4,02305648; ;;Deeltijdse vorming;Secundair onderwijs
GO! instituut voor buitengewoon secundair onderwijs De Horizon;Welvaartstraat;Aalst;50,94183941;4,02118714; ;https://www.passtel.be;Buitengewoon secundair onderwijs;Secundair onderwijs
GO! Basisschool voor buitengewoon onderwijs - De Brug Erpe;Welvaartstraat;Aalst;50,94183941;4,02118714; ;;Buitengewoon lager onderwijs;Basisonderwijs
TechniGO! campus De Voorstad Aalst;Welvaartstraat;Aalst;50,94183941;4,02118714;directeur.devoorstad@technigo.be;https://www.technigo.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
TechniGO! campus De Voorstad Aalst;Welvaartstraat;Aalst;50,94183941;4,02118714;directeur.devoorstad@technigo.be;https://www.technigo.be;Deeltijds beroepssecundair onderwijs;Secundair onderwijs
TechniGO! campus Ledebaan Aalst;Welvaartstraat;Aalst;50,94183941;4,02118714; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
GO! Middenschool Ninove;Welvaartstraat;Aalst;50,94183941;4,02118714; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrije Basisschool Sint-Maarten;Raffelgemstraat;Aalst;50,94280344;4,01587275;directie.stanna@sgvbd.be;https://www.smi-aalst.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Basisschool 't Klaproosje;Oude Gentbaan;Aalst;50,94113656;4,01161684;skstklaproosje@aalst.be;https://www.skstklaproosje.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool - De Linde;Tolstraat;Aalst;50,92311644;4,00400238;wim.vandamme@basisschooldelinde.be;https://www.basisschooldelinde.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool - De Linde;Tolstraat;Aalst;50,92311644;4,00400238;wim.vandamme@basisschooldelinde.be;https://www.basisschooldelinde.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Basisschool De Notelaar;Achterbremt;Aalst;50,92017664;3,98691643; ;https://devlinder.weebly.com;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool 't Klaproosje;Meldert-Dorp;Aalst;50,93330073;4,13450073;sbs.meldert@aals.be;https://www.sbsdezonnebloem.be;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool 't Klaproosje;Meldert-Dorp;Aalst;50,93330073;4,13450073;sbs.meldert@aals.be;https://www.sbsdezonnebloem.be;Gewoon lager onderwijs;Basisonderwijs
GO! Basisschool L.P.Boon Erembodegem;Leuvestraat;Aalst;50,91985378;4,06425624;directie@bslpboon.be;https://www.bslpboon.be;Gewoon kleuteronderwijs;Basisonderwijs
GO! Basisschool L.P.Boon Erembodegem;Leuvestraat;Aalst;50,91985378;4,06425624;directie@bslpboon.be;https://www.bslpboon.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Basisschool De Regenboog;Ronsevaaldreef;Aalst;50,9225907;4,0623896;sbsderegenboog@aalst.be;;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool De Regenboog;Erembodegem-Dorp;Aalst;50,91999186;4,05860935;sbsderegenboog@aalst.be;https://www.sbsderegenboog.be;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool De Regenboog;Erembodegem-Dorp;Aalst;50,91999186;4,05860935;sbsderegenboog@aalst.be;https://www.sbsderegenboog.be;Gewoon lager onderwijs;Basisonderwijs
GO! Lyceum Aalst;Pontstraat;Aalst;50,93586978;4,0429551;inlichtingen@lyceum-aalst.be;https://www.lyceum-aalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Jozefscollege 1;Stoofstraat;Aalst;50,93736893;4,04220491; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Jozefscollege 2;Stoofstraat;Aalst;50,93736893;4,04220491; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Sint-Jozefscollege;Stoofstraat;Aalst;50,93736893;4,04220491; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
GO! instituut voor buitengewoon secundair onderwijs De Horizon;Molendreef;Aalst;50,93616198;4,02249529;info@ibsodehorizon.be;https://www.ibsodehorizon.be;Buitengewoon secundair onderwijs;Secundair onderwijs
GO! Basisschool voor buitengewoon onderwijs - De Horizon Aalst;Molendreef;Aalst;50,93616198;4,02249529;directeur@bsbodehorizon.be;https://www.bsbodehorizon.be;Buitengewoon kleuteronderwijs;Basisonderwijs
GO! Basisschool voor buitengewoon onderwijs - De Horizon Aalst;Molendreef;Aalst;50,93616198;4,02249529;directeur@bsbodehorizon.be;https://www.bsbodehorizon.be;Buitengewoon lager onderwijs;Basisonderwijs
GO! Basisschool GAAF! Aalst;Eikstraat;Aalst;50,93230585;4,03824275;directie@bsgaaf.be;https://www.bsgaaf.be;Gewoon kleuteronderwijs;Basisonderwijs
GO! Basisschool GAAF! Aalst;Eikstraat;Aalst;50,93230585;4,03824275;directie@bsgaaf.be;https://www.bsgaaf.be;Gewoon lager onderwijs;Basisonderwijs
Gemeentelijke Kunstacademie;Lotenhullestraat;Aalter;51,08736898;3,48935441; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Vrije Basisschool - Tabor Bellem;Lotenhullestraat;Aalter;51,08736898;3,48935441;tabor.bellem@op-weg.net;https://www.taborbellem.op-weg.be;Gewoon lager onderwijs;Basisonderwijs
Vrije Basisschool - Tabor Bellem;Bellemdorpweg;Aalter;51,08987584;3,48919311; ;;Gewoon kleuteronderwijs;Basisonderwijs
Academie voor Muziek, Woord en Dans;Stationsplein;Aalter;51,0930386;3,45006246;academie@aalter.be;https://www.aalter.be;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
